ts,cpu_pct,rss_mb
1756736271.152498,66.9,347.6015625
1756736271.4533007,58.9,347.71484375
1756736271.7548716,73.2,347.71875
1756736272.0556016,69.5,347.78515625
1756736272.3565269,71.1,347.7890625
1756736272.6573598,55.1,347.7890625
1756736272.958085,51.3,353.140625
1756736273.2590458,69.5,347.7890625
1756736273.5599725,52.9,347.796875
1756736273.860972,70.3,347.80078125
1756736274.1618354,56.6,347.80078125
1756736274.4626982,51.6,347.81640625
1756736274.7632666,72.9,347.81640625
1756736275.0638547,54.5,347.81640625
1756736275.3655162,66.9,347.8203125
1756736275.6664946,66.7,347.8203125
1756736275.9671772,51.3,347.88671875
1756736276.268233,67.5,347.88671875
1756736276.5690794,70.1,347.8828125
1756736276.870557,53.6,347.88671875
1756736277.1713953,72.2,347.88671875
1756736277.472497,57.1,347.88671875
1756736277.7738101,63.9,347.88671875
1756736278.074717,57.2,347.88671875
1756736278.3755672,73.8,347.88671875
1756736278.6767695,70.3,347.890625
1756736278.9773626,56.0,347.890625
1756736279.2782116,57.1,347.890625
1756736279.5789363,65.8,347.88671875
1756736279.8796148,52.3,347.88671875
1756736280.180246,69.4,347.89453125
1756736280.4809613,63.0,347.89453125
1756736280.781627,78.6,347.89453125
1756736281.082628,56.6,347.90234375
1756736281.3835073,61.3,347.8984375
1756736281.6845803,62.3,347.8984375
1756736281.98569,67.3,347.890625
1756736282.286578,51.7,347.89453125
1756736282.5874317,71.2,347.90234375
1756736282.8882265,60.9,347.90234375
1756736283.189061,72.9,347.89453125
1756736283.490086,53.8,347.8984375
1756736283.7907996,66.7,347.90234375
1756736284.091807,58.8,347.90234375
1756736284.3926258,50.7,347.90234375
1756736284.6933417,71.6,347.91796875
1756736284.9939833,70.4,347.9140625
1756736285.294815,62.0,347.9140625
1756736285.5957396,51.9,347.91015625
1756736285.8968067,69.5,347.91015625
1756736286.1976347,51.6,347.91015625
1756736286.4986029,69.1,347.921875
1756736286.7995892,51.0,347.921875
1756736287.1005838,59.5,347.91796875
1756736287.4016397,64.7,347.91796875
1756736287.702383,61.6,347.91796875
1756736288.0033784,69.6,347.9140625
1756736288.30448,52.0,347.91796875
1756736288.6054,54.9,347.921875
1756736288.9063027,71.3,347.921875
1756736289.2072535,66.0,347.9140625
1756736289.5083168,58.0,347.9140625
1756736289.8091264,70.3,347.91796875
1756736290.1099694,65.8,347.91796875
1756736290.4106736,67.1,347.9296875
1756736290.7113564,56.5,347.9296875
1756736291.011867,66.0,347.921875
1756736291.3124762,51.6,347.921875
1756736291.6163683,55.3,352.0078125
1756736291.9171722,73.2,347.91796875
1756736292.2180057,79.4,347.93359375
1756736292.518624,66.7,347.921875
1756736292.8196716,60.3,347.921875
1756736293.1205509,59.2,347.921875
1756736293.4215117,50.6,347.921875
1756736293.7224677,69.0,347.921875
1756736294.0231776,59.2,347.921875
1756736294.323915,59.2,347.921875
1756736294.6245914,70.9,347.921875
1756736294.9257302,51.6,347.92578125
1756736295.2264576,73.1,347.9140625
1756736295.5273478,67.3,353.16796875
1756736295.8282726,73.3,347.9140625
1756736296.1289139,82.3,347.9296875
1756736296.429727,56.1,347.9296875
1756736296.7307267,73.4,347.93359375
1756736297.0316305,60.9,347.93359375
1756736297.3324323,64.5,347.92578125
1756736297.6332235,69.0,347.92578125
1756736297.933835,66.2,347.92578125
1756736298.2346041,70.7,347.93359375
1756736298.5357118,79.1,347.93359375
1756736298.8368063,81.0,347.9375
1756736299.1378298,71.2,347.9375
1756736299.4386063,74.7,347.9375
1756736299.739489,64.5,347.9375
1756736300.0401413,69.9,347.9375
1756736300.3411076,57.9,347.9375
1756736300.64203,53.3,347.9375
1756736300.943043,69.7,347.9375
1756736301.2438323,69.4,347.94140625
1756736301.5450306,56.0,347.94140625
1756736301.8460484,75.6,347.94140625
1756736302.147111,52.9,347.94140625
1756736302.4480817,72.4,347.94140625
1756736302.748974,55.3,347.94140625
1756736303.0498211,69.3,347.94140625
1756736303.351894,72.3,347.94921875
1756736303.6528563,57.1,347.94921875
1756736303.9540923,52.8,347.9375
1756736304.2551208,68.4,347.9375
1756736304.5556896,51.6,347.9453125
1756736304.8566282,67.7,347.94921875
1756736305.1576436,49.7,347.94921875
1756736305.458682,52.6,347.94921875
1756736305.7595522,73.7,347.953125
1756736306.0606518,53.5,347.95703125
1756736306.3614771,66.5,347.95703125
1756736306.6621985,67.5,347.95703125
1756736306.9629614,71.3,347.95703125
1756736307.2636106,55.3,347.95703125
1756736307.5644217,70.5,347.9609375
1756736307.865343,58.1,347.9609375
1756736308.166043,58.8,347.9609375
1756736308.4669943,73.8,347.96484375
1756736308.7683241,53.9,347.96484375
1756736309.0688965,54.9,347.96484375
1756736309.3699234,66.0,347.96484375
1756736309.6708179,52.9,347.96875
1756736309.9719012,70.3,347.96484375
1756736310.2726493,59.0,347.96484375
1756736310.5731676,59.5,347.96484375
1756736310.874254,67.7,347.96484375
1756736311.1750047,56.3,347.96484375
1756736311.4755895,71.4,347.96484375
1756736311.7763147,57.4,347.96484375
1756736312.0769036,58.0,347.94921875
1756736312.378244,68.6,347.94921875
1756736312.6791844,58.6,347.94921875
1756736312.9800832,75.0,347.96484375
1756736313.2808027,55.6,347.96875
1756736313.5817063,53.6,347.96875
1756736313.882429,72.8,347.9609375
1756736314.183017,50.0,347.9609375
1756736314.4838753,69.8,347.96484375
1756736314.785027,59.6,347.96484375
1756736315.0859473,53.3,347.96875
1756736315.3869035,75.5,347.96875
1756736315.6878247,64.2,347.96875
1756736315.9889843,66.0,347.96875
1756736316.290023,78.1,347.97265625
1756736316.5912387,52.8,347.97265625
1756736316.891976,66.7,347.984375
1756736317.1928732,64.3,347.984375
1756736317.49364,54.9,347.9921875
1756736317.794984,70.5,347.984375
1756736318.095921,52.0,347.984375
1756736318.396839,66.2,347.984375
1756736318.6978703,71.0,347.984375
1756736318.998367,53.2,347.984375
1756736319.2994843,59.4,347.984375
1756736319.6005788,69.0,347.9765625
1756736319.9015412,56.9,347.9765625
1756736320.2024803,70.0,347.98828125
1756736320.5031283,55.5,347.98828125
1756736320.8042307,56.6,347.98828125
1756736321.1048422,79.6,347.98828125
1756736321.4056666,65.6,347.98828125
1756736321.7080255,65.1,351.79296875
1756736322.0086691,85.9,347.98828125
1756736322.3097663,71.0,347.98828125
1756736322.610984,51.6,347.98828125
1756736322.911665,57.4,347.98046875
1756736323.21233,64.3,347.98046875
1756736323.513254,58.9,347.98046875
1756736323.8141932,68.4,347.98828125
1756736324.1148744,58.6,347.98828125
1756736324.4158325,60.6,347.98828125
1756736324.7168167,67.5,347.98046875
1756736325.01783,55.8,347.98046875
1756736325.3183937,64.9,347.98828125
1756736325.6193419,56.9,347.98828125
1756736325.9200494,52.2,347.98828125
1756736326.221486,71.2,347.99609375
1756736326.5222285,54.6,347.99609375
1756736326.822855,58.2,347.99609375
1756736327.1234763,70.2,347.98828125
1756736327.4242623,52.6,347.98828125
1756736327.7250657,68.4,347.9921875
1756736328.0259454,55.5,347.9921875
1756736328.3267617,60.9,347.9921875
1756736328.6276662,75.7,347.99609375
1756736328.9283557,72.5,347.98828125
1756736329.2290447,57.2,347.98828125
1756736329.5298767,59.5,347.98828125
1756736329.830781,64.9,347.98828125
1756736330.131533,53.2,347.98828125
1756736330.432684,71.7,347.984375
1756736330.7337744,64.6,347.984375
1756736331.0344179,56.7,347.99609375
1756736331.335191,70.4,348.0078125
1756736331.6359756,54.2,348.0078125
1756736331.9366097,54.4,348.0078125
1756736332.2376862,67.7,348.0078125
1756736332.5386372,51.6,348.0078125
1756736332.8411443,70.3,348.0078125
1756736333.1418295,62.3,348.0078125
1756736333.4428341,62.7,348.0078125
1756736333.7435982,81.0,348.0234375
1756736334.0444975,72.8,348.0234375
1756736334.3453777,64.9,348.0234375
1756736334.6466272,71.6,348.01171875
1756736334.947517,72.5,348.01171875
1756736335.2483552,72.5,348.01171875
1756736335.5494163,80.3,348.0234375
1756736335.8501418,71.2,348.0234375
1756736336.1511998,60.1,348.015625
1756736336.4520342,76.1,348.0078125
1756736336.752751,66.2,348.0078125
1756736337.0540926,53.9,348.0078125
1756736337.3553176,72.4,348.015625
1756736337.6563206,62.5,348.01953125
1756736337.957361,66.9,348.0078125
1756736338.2584753,56.2,348.0078125
1756736338.5592222,59.0,348.0078125
1756736338.8599918,75.0,348.01171875
1756736339.1608417,57.4,348.01171875
1756736339.461475,61.4,348.0078125
1756736339.7624779,76.2,348.0078125
1756736340.0635571,60.5,348.01171875
1756736340.3646183,70.6,348.0234375
1756736340.6655486,52.9,348.0234375
1756736340.9668806,61.3,348.0234375
1756736341.2676928,84.5,348.01953125
1756736341.56864,80.4,348.01953125
1756736341.8695498,56.2,348.01953125
1756736342.1706772,76.4,348.01953125
1756736342.471158,56.0,348.0234375
1756736342.7721872,73.1,348.03125
1756736343.073147,57.9,348.03125
1756736343.3740396,61.7,348.03125
1756736343.6747367,70.3,348.02734375
1756736343.9755466,50.0,348.0390625
