ts,cpu_pct,rss_mb
1756736404.8923943,50.3,345.63671875
1756736405.193223,55.8,345.63671875
1756736405.494119,54.6,345.63671875
1756736405.7951436,49.7,345.640625
1756736406.0962286,52.3,345.6484375
1756736406.3970585,51.3,345.6484375
1756736406.699401,51.6,345.65234375
1756736406.999943,56.8,345.65234375
1756736407.300845,60.1,345.65234375
1756736407.6018717,64.1,345.65625
1756736407.9032881,78.6,345.65625
1756736408.204007,67.9,345.66015625
1756736408.5048506,59.9,345.66015625
1756736408.806006,58.6,345.66015625
1756736409.1069806,65.0,345.66015625
1756736409.4075544,64.7,345.66015625
1756736409.7108178,70.5,345.66015625
1756736410.0115886,71.0,346.06640625
1756736410.3122692,60.1,346.0703125
1756736410.6131163,59.7,346.1640625
1756736410.9138975,68.2,346.19921875
1756736411.2146425,73.5,346.19921875
1756736411.5153964,78.2,346.19921875
1756736411.8220747,73.5,346.234375
1756736412.122835,61.3,346.234375
1756736412.4237015,75.2,346.2578125
1756736412.72468,61.3,346.3203125
1756736413.0255344,61.8,346.3203125
1756736413.3262074,71.3,346.3515625
1756736413.6269598,57.1,346.3515625
1756736413.9281979,64.5,346.3515625
1756736414.2293458,84.5,346.359375
1756736414.5301633,69.8,346.359375
1756736414.830785,77.6,346.359375
1756736415.1314812,50.0,346.359375
1756736415.4324203,57.5,346.35546875
1756736415.7334862,72.1,346.35546875
1756736416.0343785,66.7,346.37109375
1756736416.3395438,56.9,346.36328125
1756736416.6402266,67.5,346.36328125
1756736416.9408476,65.8,346.37109375
1756736417.2414622,60.3,346.375
1756736417.5420713,59.4,346.375
1756736417.8431027,64.4,346.37890625
1756736418.1436274,55.6,352.04296875
1756736418.444728,53.2,346.37890625
1756736418.7456632,67.1,346.37890625
1756736419.0464525,51.6,346.37890625
1756736419.3474221,55.6,346.37890625
1756736419.648301,74.7,346.37890625
1756736419.9488475,51.6,346.37890625
1756736420.250083,68.9,346.37890625
1756736420.550903,71.8,346.37109375
1756736420.8522444,62.1,346.37109375
1756736421.1531825,76.4,346.3828125
1756736421.4538596,77.4,346.37109375
1756736421.7549174,60.1,346.37109375
1756736422.0556583,52.0,346.37109375
1756736422.3566036,66.7,346.37890625
1756736422.657422,68.6,346.37890625
1756736422.9582741,63.4,346.3828125
1756736423.2616794,58.6,349.984375
1756736423.5625827,70.8,346.3828125
1756736423.863574,53.5,346.3828125
1756736424.1642668,52.6,346.37109375
1756736424.4651375,71.6,346.37109375
1756736424.7662828,66.1,346.390625
1756736425.0671775,52.0,346.390625
1756736425.3680332,52.0,346.390625
1756736425.668844,75.8,346.37890625
1756736425.9695342,64.9,346.37890625
1756736426.2702124,70.6,346.390625
1756736426.570777,50.7,346.390625
1756736426.8713167,52.6,346.38671875
1756736427.17219,73.0,346.38671875
1756736427.4728346,70.7,346.38671875
1756736427.7736986,57.2,349.390625
1756736428.0742588,69.7,346.38671875
1756736428.3748894,74.8,346.39453125
1756736428.6755404,51.3,350.703125
1756736428.976158,70.1,346.38671875
1756736429.276765,72.0,346.38671875
1756736429.5782444,59.8,346.38671875
1756736429.878882,73.5,346.390625
1756736430.1801786,76.6,346.38671875
1756736430.4824178,63.6,346.38671875
1756736430.783446,71.6,346.3828125
1756736431.0843616,53.0,346.3828125
1756736431.3853207,55.8,346.3828125
1756736431.686325,74.8,346.39453125
